Date,Open,High,Low,Close,Adj Close,Volume
2018-10-17,142.339996,142.860001,140.729996,142.449997,137.719864,9170600
2018-10-18,142.460007,142.460007,137.949997,139.289993,134.664764,10222600
2018-10-19,139.899994,142.190002,139.380005,140.080002,135.428558,8696900
2018-10-22,140.970001,141.539993,139.509995,140.639999,135.969971,6099500
2018-10-23,136.889999,140.039993,135.589996,139.119995,134.500427,10736100
2018-10-24,139.699997,140.179993,134.000000,134.259995,129.801788,13849600
2018-10-25,135.449997,140.899994,132.500000,140.520004,135.853958,14985900
2018-10-26,137.979996,139.869995,136.059998,137.740005,133.166275,12034900
2018-10-29,139.610001,141.509995,132.270004,134.330002,129.869492,12768200
2018-10-30,133.080002,134.860001,129.789993,132.759995,128.351608,15107600
2018-10-31,134.990005,139.119995,134.990005,137.850006,133.272583,13205300
2018-11-01,139.000000,140.869995,137.490005,140.830002,136.153641,16024000
2018-11-02,141.110001,141.449997,137.850006,139.779999,135.138519,17063100
2018-11-05,139.800003,140.210007,138.070007,139.800003,135.157852,6280000
2018-11-06,139.800003,140.910004,139.720001,140.789993,136.114990,4732700
2018-11-07,142.339996,144.899994,142.320007,144.779999,139.972519,20502100
2018-11-08,144.600006,145.460007,143.649994,145.229996,140.407547,5927400
2018-11-09,144.199997,144.570007,142.360001,143.929993,139.150726,8339800
2018-11-12,143.419998,143.639999,139.169998,139.720001,135.080505,11335100
2018-11-13,140.350006,141.899994,139.009995,139.720001,135.080505,6287000
2018-11-14,142.020004,142.600006,138.410004,139.490005,134.858170,6613900
2018-11-15,138.850006,141.910004,137.929993,141.839996,137.376328,8565000
2018-11-16,140.419998,141.839996,139.919998,140.179993,135.768570,8628000
2018-11-19,140.470001,140.570007,134.250000,134.759995,130.519150,16253000
2018-11-20,130.309998,134.529999,129.539993,133.369995,129.172867,12720200
2018-11-21,134.360001,135.779999,133.630005,134.419998,130.189835,7416300
2018-11-23,132.589996,134.250000,132.490005,132.869995,128.688599,3676000
2018-11-26,134.600006,136.520004,134.250000,135.940002,131.662018,9144600
2018-11-27,135.279999,136.309998,134.119995,135.910004,131.632919,7877900
2018-11-28,137.070007,141.539993,136.869995,141.380005,136.930801,11265100
2018-11-29,140.690002,140.699997,138.710007,139.100006,134.722595,8751500
2018-11-30,139.009995,142.259995,138.630005,141.710007,137.250427,11362800
2018-12-03,145.000000,145.720001,143.850006,145.000000,140.436874,11285600
2018-12-04,143.130005,144.350006,138.500000,138.639999,134.277069,13988900
2018-12-06,135.039993,141.110001,133.479996,141.050003,136.611191,16391900
2018-12-07,140.820007,142.130005,135.990005,137.110001,132.795181,14007700
2018-12-10,136.250000,138.270004,134.860001,137.880005,133.540939,15744300
2018-12-11,139.940002,140.050003,135.919998,136.809998,132.504623,12466300
2018-12-12,139.300003,140.880005,137.750000,137.800003,133.463470,10387200
2018-12-13,138.300003,139.130005,136.149994,137.539993,133.211655,8780900
2018-12-14,135.690002,136.720001,134.550003,135.089996,130.838791,9351200
2018-12-17,134.210007,134.429993,130.690002,131.399994,127.264877,11796200
2018-12-18,132.289993,134.169998,131.800003,132.660004,128.485214,12761900
2018-12-19,132.929993,135.869995,129.520004,131.259995,127.129265,13819000
2018-12-20,130.160004,132.009995,127.150002,128.759995,124.707954,18091700
2018-12-21,127.180000,130.330002,122.949997,124.260002,120.349571,25448600
2018-12-24,122.080002,125.209999,121.599998,121.730003,117.899193,8617700
2018-12-26,123.019997,130.240005,123.000000,130.229996,126.131691,13499500
2018-12-27,127.989998,132.009995,126.519997,132.009995,127.855659,10883000
2018-12-28,133.080002,133.619995,129.660004,130.940002,126.819344,7381300
2018-12-31,131.679993,132.440002,130.229996,131.940002,127.787910,7976000
2019-01-02,130.000000,133.740005,129.600006,132.919998,128.737045,8788000
2019-01-03,131.210007,131.279999,127.879997,128.130005,124.097778,9428300
2019-01-04,130.440002,134.589996,130.130005,133.649994,129.444031,11065800
2019-01-07,134.449997,137.169998,134.039993,136.059998,131.778229,12928000
2019-01-08,137.970001,138.190002,135.960007,136.800003,132.494934,9243000
2019-01-09,138.300003,139.479996,137.619995,138.410004,134.054291,9987600
2019-01-10,136.809998,138.820007,136.360001,138.669998,134.306061,12514900
2019-01-11,137.750000,138.600006,137.410004,138.059998,133.715302,5860100
2019-01-14,136.990005,138.130005,136.649994,137.100006,132.785477,8666700
2019-01-15,136.960007,137.720001,135.250000,137.339996,133.017944,7594900
2019-01-16,138.399994,138.869995,137.070007,137.339996,133.017944,7258000
2019-01-17,136.970001,137.910004,136.589996,137.279999,132.959839,5864900
