Date,Open,High,Low,Close,Adj Close,Volume
2018-10-17,46.000000,46.330002,45.540001,45.889999,39.903328,23124400
2018-10-18,45.650002,45.750000,44.830002,44.970001,39.103348,26638800
2018-10-19,45.020000,45.180000,43.860001,44.000000,38.259888,28368500
2018-10-22,44.500000,45.340000,44.099998,45.009998,39.138119,34508800
2018-10-23,44.180000,45.090000,43.910000,44.500000,38.694660,38590300
2018-10-24,44.160000,44.360001,42.360001,42.419998,36.886009,33631800
2018-10-25,43.540001,44.939999,43.279999,44.310001,38.529446,48255300
2018-10-26,45.590000,46.439999,44.700001,45.689999,39.729408,67280400
2018-10-29,46.500000,46.750000,44.439999,45.400002,39.477257,35732200
2018-10-30,45.529999,47.880001,45.459999,47.759998,41.529369,43975200
2018-10-31,48.290001,48.560001,46.830002,46.880001,40.764179,33369100
2018-11-01,46.950001,48.470001,46.860001,48.220001,41.929359,28335300
2018-11-02,48.130001,48.250000,46.750000,47.110001,40.964165,30759800
2018-11-05,47.340000,48.250000,46.919998,47.970001,41.711975,23751200
2018-11-06,47.799999,47.919998,47.029999,47.250000,41.344460,23839600
2018-11-07,47.630001,48.750000,47.590000,48.720001,42.630741,29913200
2018-11-08,48.490002,49.290001,48.459999,48.990002,42.866993,26581700
2018-11-09,48.790001,49.029999,47.869999,48.110001,42.096977,21761400
2018-11-12,47.709999,47.799999,46.599998,46.650002,40.819458,24412800
2018-11-13,46.990002,48.250000,46.990002,47.389999,41.466965,29315900
2018-11-14,47.849998,47.970001,46.889999,47.090000,41.204460,25632700
2018-11-15,47.009998,48.240002,46.720001,48.110001,42.096977,29581000
2018-11-16,47.770000,49.049999,47.689999,48.830002,42.726997,31670600
2018-11-19,48.610001,49.150002,47.779999,48.000000,42.000729,26859000
2018-11-20,47.400002,48.119999,47.090000,47.389999,41.466965,29200800
2018-11-21,47.849998,47.880001,47.020000,47.029999,41.151958,19011400
2018-11-23,46.689999,47.070000,46.520000,46.540001,40.723206,8906900
2018-11-26,47.270000,47.459999,46.700001,47.450001,41.519470,20723000
2018-11-27,46.939999,48.220001,46.590000,48.070000,42.061981,27621000
2018-11-28,47.939999,48.880001,47.650002,48.860001,42.753242,28003200
2018-11-29,48.490002,48.560001,47.630001,47.700001,41.738224,23592500
2018-11-30,47.950001,49.320000,47.560001,49.310001,43.146996,43313700
2018-12-03,50.000000,50.500000,49.529999,50.130001,43.864506,30870400
2018-12-04,49.520000,49.599998,47.680000,47.750000,41.781967,35397700
2018-12-06,46.799999,48.389999,46.520000,48.369999,42.324486,31661700
2018-12-07,47.939999,48.060001,46.230000,46.240002,40.460701,34016400
2018-12-10,46.279999,47.459999,46.009998,47.209999,41.309464,23289000
2018-12-11,47.900002,48.590000,47.130001,47.380001,41.458221,23851000
2018-12-12,48.580002,48.639999,47.410000,47.830002,41.851978,31305000
2018-12-13,48.259998,48.580002,47.860001,48.290001,42.254478,19526000
2018-12-14,47.889999,48.759998,47.849998,47.860001,41.878220,26372100
2018-12-17,47.860001,48.410000,46.660000,47.080002,41.195717,26598700
2018-12-18,47.470001,48.450001,47.360001,47.740002,41.773224,29014300
2018-12-19,47.490002,47.730000,45.380001,45.570000,39.874432,39717600
2018-12-20,45.410000,46.310001,45.009998,45.540001,39.848183,37750900
2018-12-21,45.750000,46.650002,44.799999,44.840000,39.235676,52768300
2018-12-24,44.630001,45.169998,43.540001,43.590000,38.141914,19241600
2018-12-26,44.000000,46.200001,43.509998,46.189999,40.416946,28677600
2018-12-27,45.619999,46.380001,44.669998,46.360001,40.565704,29970700
2018-12-28,46.509998,47.740002,46.299999,46.750000,40.906956,24758700
2018-12-31,47.090000,47.480000,46.549999,46.930000,41.064468,20490400
2019-01-02,45.959999,47.470001,45.770000,47.080002,41.195717,18774600
2019-01-03,46.150002,46.279999,44.389999,44.490002,38.929432,32267300
2019-01-04,45.840000,47.570000,45.540001,47.220001,41.318214,35447300
2019-01-07,47.099998,48.000000,46.750000,47.439999,41.510715,22736800
2019-01-08,47.799999,48.029999,46.779999,47.740002,41.773224,22749200
2019-01-09,47.959999,48.570000,47.779999,48.009998,42.009472,22554500
